sequence_index,task_id,task_name,process_id,process_name,operated_objects,operated_object_names,task_obb_center,required_resources,generation_rule,inference_explanation
11,Task_手工定位角材_Part_1_3_5536C10103G71_5536C10103G71_1,手工定位角材_Part_1_3_5536C10103G71_5536C10103G71_1,PROC_手工定位角材,手工定位角材,Part_1_3_5536C10103G71_5536C10103G71_1,5536C10103G71 1号肋角材,36.211027091;2.111770869;0.0125,定位器,object_requireProcess_positioning,对象存在 requireProcess 定位类工艺，因此生成定位任务。
12,Task_定位连接带板_Part_1_35_5536C14002G71_5536C14002G70_1,定位连接带板_Part_1_35_5536C14002G71_5536C14002G70_1,PROC_手工定位角材,手工定位角材,Part_1_35_5536C14002G71_5536C14002G70_1,5536C14002G71 1号连接带板,36.213468116;2.258457839;-0.249574559,定位器,object_requireProcess_connection_belt_positioning,连接带板属于支撑件，随角材/支撑件定位阶段定位，因此生成定位连接带板任务。
13,Task_手工定位角材_Part_1_8_5536C10214G70_5536C10214G70_1,手工定位角材_Part_1_8_5536C10214G70_5536C10214G70_1,PROC_手工定位角材,手工定位角材,Part_1_8_5536C10214G70_5536C10214G70_1,5536C10214G70 2号肋缘条,36.158748365;2.549188771;-0.203445111,定位器,object_requireProcess_positioning,对象存在 requireProcess 定位类工艺，因此生成定位任务。
14,Task_手工定位角材_Part_1_7_5536C10213G70_5536C10213G70_1,手工定位角材_Part_1_7_5536C10213G70_5536C10213G70_1,PROC_手工定位角材,手工定位角材,Part_1_7_5536C10213G70_5536C10213G70_1,5536C10213G70 2号肋缘条,36.158748365;2.549188771;0.203445111,定位器,object_requireProcess_positioning,对象存在 requireProcess 定位类工艺，因此生成定位任务。
15,Task_定位连接带板_Part_1_37_5536C14004G71_5536C14004G70_1,定位连接带板_Part_1_37_5536C14004G71_5536C14004G70_1,PROC_手工定位角材,手工定位角材,Part_1_37_5536C14004G71_5536C14004G70_1,5536C14004G71 2号连接带板,36.78014553;2.971849449;-0.226842136,定位器,object_requireProcess_connection_belt_positioning,连接带板属于支撑件，随角材/支撑件定位阶段定位，因此生成定位连接带板任务。
16,Task_定位连接带板_Part_1_36_5536C14003G71_5536C14003G70_1,定位连接带板_Part_1_36_5536C14003G71_5536C14003G70_1,PROC_手工定位角材,手工定位角材,Part_1_36_5536C14003G71_5536C14003G70_1,5536C14003G71 2号连接带板,36.78014553;2.971849449;0.226842136,定位器,object_requireProcess_connection_belt_positioning,连接带板属于支撑件，随角材/支撑件定位阶段定位，因此生成定位连接带板任务。
17,Task_手工定位角材_Part_1_9_5536C10303G71_5536C10303G71_1,手工定位角材_Part_1_9_5536C10303G71_5536C10303G71_1,PROC_手工定位角材,手工定位角材,Part_1_9_5536C10303G71_5536C10303G71_1,5536C10303G71 3号肋角材,37.230359548;3.552785821;0.0,定位器,object_requireProcess_positioning,对象存在 requireProcess 定位类工艺，因此生成定位任务。
18,Task_手工定位角材_Part_1_11_5536C10313G70_5536C10313G70_1,手工定位角材_Part_1_11_5536C10313G70_5536C10313G70_1,PROC_手工定位角材,手工定位角材,Part_1_11_5536C10313G70_5536C10313G70_1,5536C10313G70 角片,36.801519067;3.864680374;0.09583733,定位器,object_requireProcess_positioning,对象存在 requireProcess 定位类工艺，因此生成定位任务。
19,Task_手工定位角材_Part_1_12_5536C10314G70_5536C10314G70_1,手工定位角材_Part_1_12_5536C10314G70_5536C10314G70_1,PROC_手工定位角材,手工定位角材,Part_1_12_5536C10314G70_5536C10314G70_1,5536C10314G70 角片,36.801519067;3.864680374;-0.09583733,定位器,object_requireProcess_positioning,对象存在 requireProcess 定位类工艺，因此生成定位任务。
20,Task_定位连接带板_Part_1_39_5536C14006G71_5536C14006G71_1,定位连接带板_Part_1_39_5536C14006G71_5536C14006G71_1,PROC_手工定位角材,手工定位角材,Part_1_39_5536C14006G71_5536C14006G71_1,5536C14006G71 3号连接带板,37.604044218;4.122470852;-0.189862728,定位器,object_requireProcess_connection_belt_positioning,连接带板属于支撑件，随角材/支撑件定位阶段定位，因此生成定位连接带板任务。
21,Task_定位连接带板_Part_1_38_5536C14005G71_5536C14005G71_1,定位连接带板_Part_1_38_5536C14005G71_5536C14005G71_1,PROC_手工定位角材,手工定位角材,Part_1_38_5536C14005G71_5536C14005G71_1,5536C14005G71 3号连接带板,37.604044218;4.122470852;0.189862728,定位器,object_requireProcess_connection_belt_positioning,连接带板属于支撑件，随角材/支撑件定位阶段定位，因此生成定位连接带板任务。
22,Task_手工定位角材_Part_1_13_5536C10403G71_5536C10403G71_1,手工定位角材_Part_1_13_5536C10403G71_5536C10403G71_1,PROC_手工定位角材,手工定位角材,Part_1_13_5536C10403G71_5536C10403G71_1,5536C10403G71 4号肋角材,38.037472275;4.689662949;-0.0,定位器,object_requireProcess_positioning,对象存在 requireProcess 定位类工艺，因此生成定位任务。
23,Task_手工定位角材_Part_1_16_5536C10414G72_5536C10414G72_1,手工定位角材_Part_1_16_5536C10414G72_5536C10414G72_1,PROC_手工定位角材,手工定位角材,Part_1_16_5536C10414G72_5536C10414G72_1,5536C10414G72 4号肋缘条,37.876723449;4.824646325;-0.139718322,定位器,object_requireProcess_positioning,对象存在 requireProcess 定位类工艺，因此生成定位任务。
24,Task_手工定位角材_Part_1_15_5536C10413G72_5536C10413G72_1,手工定位角材_Part_1_15_5536C10413G72_5536C10413G72_1,PROC_手工定位角材,手工定位角材,Part_1_15_5536C10413G72_5536C10413G72_1,5536C10413G72 4号肋缘条,37.876723449;4.824646325;0.139718322,定位器,object_requireProcess_positioning,对象存在 requireProcess 定位类工艺，因此生成定位任务。
25,Task_定位连接带板_Part_1_41_5536C14008G71_5536C14008G71_1,定位连接带板_Part_1_41_5536C14008G71_5536C14008G71_1,PROC_手工定位角材,手工定位角材,Part_1_41_5536C14008G71_5536C14008G71_1,5536C14008G71 4号连接带板,38.323439882;5.135340649;-0.156695542,定位器,object_requireProcess_connection_belt_positioning,连接带板属于支撑件，随角材/支撑件定位阶段定位，因此生成定位连接带板任务。
26,Task_定位连接带板_Part_1_40_5536C14007G71_5536C14007G71_1,定位连接带板_Part_1_40_5536C14007G71_5536C14007G71_1,PROC_手工定位角材,手工定位角材,Part_1_40_5536C14007G71_5536C14007G71_1,5536C14007G71 4号连接带板,38.323439882;5.135340649;0.156695542,定位器,object_requireProcess_connection_belt_positioning,连接带板属于支撑件，随角材/支撑件定位阶段定位，因此生成定位连接带板任务。
27,Task_手工定位角材_Part_1_17_5536C10503G71_5536C10503G70_1,手工定位角材_Part_1_17_5536C10503G71_5536C10503G70_1,PROC_手工定位角材,手工定位角材,Part_1_17_5536C10503G71_5536C10503G70_1,5536C10503G71 5号肋角材,38.64045634;5.539789833;0.0,定位器,object_requireProcess_positioning,对象存在 requireProcess 定位类工艺，因此生成定位任务。
28,Task_手工定位角材_Part_1_19_5536C10513G70_5536C10513G70_1,手工定位角材_Part_1_19_5536C10513G70_5536C10513G70_1,PROC_手工定位角材,手工定位角材,Part_1_19_5536C10513G70_5536C10513G70_1,5536C10513G70 角片,38.330977218;5.770468182;0.055981173,定位器,object_requireProcess_positioning,对象存在 requireProcess 定位类工艺，因此生成定位任务。
29,Task_手工定位角材_Part_1_20_5536C10514G70_5536C10514G70_1,手工定位角材_Part_1_20_5536C10514G70_5536C10514G70_1,PROC_手工定位角材,手工定位角材,Part_1_20_5536C10514G70_5536C10514G70_1,5536C10514G70 角片,38.330977218;5.770468182;-0.055981173,定位器,object_requireProcess_positioning,对象存在 requireProcess 定位类工艺，因此生成定位任务。
30,Task_定位连接带板_Part_1_43_5536C14010G71_5536C14010G72_1,定位连接带板_Part_1_43_5536C14010G71_5536C14010G72_1,PROC_手工定位角材,手工定位角材,Part_1_43_5536C14010G71_5536C14010G72_1,5536C14010G71 5号连接带板,39.034075926;6.135930085;-0.123969559,定位器,object_requireProcess_connection_belt_positioning,连接带板属于支撑件，随角材/支撑件定位阶段定位，因此生成定位连接带板任务。
31,Task_定位连接带板_Part_1_42_5536C14009G71_5536C14009G72_1,定位连接带板_Part_1_42_5536C14009G71_5536C14009G72_1,PROC_手工定位角材,手工定位角材,Part_1_42_5536C14009G71_5536C14009G72_1,5536C14009G71 5号连接带板,39.034075926;6.135930085;0.123969559,定位器,object_requireProcess_connection_belt_positioning,连接带板属于支撑件，随角材/支撑件定位阶段定位，因此生成定位连接带板任务。
32,Task_手工定位角材_Part_1_21_5536C10603G71_5536C10603G71_1,手工定位角材_Part_1_21_5536C10603G71_5536C10603G71_1,PROC_手工定位角材,手工定位角材,Part_1_21_5536C10603G71_5536C10603G71_1,5536C10603G71 6号肋角材,39.458110933;6.69142469;0.0,定位器,object_requireProcess_positioning,对象存在 requireProcess 定位类工艺，因此生成定位任务。
33,Task_手工定位角材_Part_1_23_5536C10613G70_5536C10613G70_1,手工定位角材_Part_1_23_5536C10613G70_5536C10613G70_1,PROC_手工定位角材,手工定位角材,Part_1_23_5536C10613G70_5536C10613G70_1,5536C10613G70 角片,39.217089815;6.874786913;0.031110531,定位器,object_requireProcess_positioning,对象存在 requireProcess 定位类工艺，因此生成定位任务。
34,Task_手工定位角材_Part_1_24_5536C10614G70_5536C10614G70_1,手工定位角材_Part_1_24_5536C10614G70_5536C10614G70_1,PROC_手工定位角材,手工定位角材,Part_1_24_5536C10614G70_5536C10614G70_1,5536C10614G70 角片,39.217089815;6.874786913;-0.031110531,定位器,object_requireProcess_positioning,对象存在 requireProcess 定位类工艺，因此生成定位任务。
35,Task_定位连接带板_Part_1_45_5536C14012G71_5536C14012G71_1,定位连接带板_Part_1_45_5536C14012G71_5536C14012G71_1,PROC_手工定位角材,手工定位角材,Part_1_45_5536C14012G71_5536C14012G71_1,5536C14012G71 6号连接带板,39.750650045;7.145455289;-0.091675299,定位器,object_requireProcess_connection_belt_positioning,连接带板属于支撑件，随角材/支撑件定位阶段定位，因此生成定位连接带板任务。
36,Task_定位连接带板_Part_1_44_5536C14011G71_5536C14011G71_1,定位连接带板_Part_1_44_5536C14011G71_5536C14011G71_1,PROC_手工定位角材,手工定位角材,Part_1_44_5536C14011G71_5536C14011G71_1,5536C14011G71 6号连接带板,39.750650045;7.145455289;0.091675299,定位器,object_requireProcess_connection_belt_positioning,连接带板属于支撑件，随角材/支撑件定位阶段定位，因此生成定位连接带板任务。
37,Task_定位两侧壁板_SubAssembly_1_32_5536C11008G41_5536C11008G41,定位两侧壁板_SubAssembly_1_32_5536C11008G41_5536C11008G41,PROC_定位两侧壁板,定位两侧壁板,SubAssembly_1_32_5536C11008G41_5536C11008G41,5536C11008G41 右侧3号夹芯板,38.808352185;6.08528014;-0.112796653,边缘定位挡块,object_requireProcess_positioning,对象存在 requireProcess 定位类工艺，因此生成定位任务。
38,Task_定位两侧壁板_SubAssembly_1_31_5536C11007G41_5536C11007G41,定位两侧壁板_SubAssembly_1_31_5536C11007G41_5536C11007G41,PROC_定位两侧壁板,定位两侧壁板,SubAssembly_1_31_5536C11007G41_5536C11007G41,5536C11007G41 左侧3号夹芯板,38.808352185;6.08528014;0.112796653,边缘定位挡块,object_requireProcess_positioning,对象存在 requireProcess 定位类工艺，因此生成定位任务。
39,Task_定位两侧壁板_SubAssembly_1_30_5536C11006G41_5536C11006G41,定位两侧壁板_SubAssembly_1_30_5536C11006G41_5536C11006G41,PROC_定位两侧壁板,定位两侧壁板,SubAssembly_1_30_5536C11006G41_5536C11006G41,5536C11006G41 右侧2号夹芯板,36.956374332;3.634800289;-0.182001423,边缘定位挡块,object_requireProcess_positioning,对象存在 requireProcess 定位类工艺，因此生成定位任务。
40,Task_定位两侧壁板_SubAssembly_1_29_5536C11005G41_5536C11005G41,定位两侧壁板_SubAssembly_1_29_5536C11005G41_5536C11005G41,PROC_定位两侧壁板,定位两侧壁板,SubAssembly_1_29_5536C11005G41_5536C11005G41,5536C11005G41 左侧2号夹芯板,36.956374332;3.634800289;0.182001423,边缘定位挡块,object_requireProcess_positioning,对象存在 requireProcess 定位类工艺，因此生成定位任务。
41,Task_定位两侧壁板_SubAssembly_1_28_5536C11004G41_5536C11004G41,定位两侧壁板_SubAssembly_1_28_5536C11004G41_5536C11004G41,PROC_定位两侧壁板,定位两侧壁板,SubAssembly_1_28_5536C11004G41_5536C11004G41,5536C11004G41 右侧1号夹芯板,35.895179533;2.335710319;-0.209607412,边缘定位挡块,object_requireProcess_positioning,对象存在 requireProcess 定位类工艺，因此生成定位任务。
42,Task_定位两侧壁板_SubAssembly_1_27_5536C11003G41_5536C11003G41,定位两侧壁板_SubAssembly_1_27_5536C11003G41_5536C11003G41,PROC_定位两侧壁板,定位两侧壁板,SubAssembly_1_27_5536C11003G41_5536C11003G41,5536C11003G41 左侧1号夹芯板,35.895179533;2.335710319;0.209607412,边缘定位挡块,object_requireProcess_positioning,对象存在 requireProcess 定位类工艺，因此生成定位任务。
43,Task_定位两侧壁板_SubAssembly_1_26_5536C11002G41_5536C11002G41_1,定位两侧壁板_SubAssembly_1_26_5536C11002G41_5536C11002G41_1,PROC_定位两侧壁板,定位两侧壁板,SubAssembly_1_26_5536C11002G41_5536C11002G41_1,5536C11002G41 右侧下封面板,35.592269824;1.991052581;-0.206816858,边缘定位挡块,object_requireProcess_positioning,对象存在 requireProcess 定位类工艺，因此生成定位任务。
44,Task_定位两侧壁板_SubAssembly_1_25_5536C11001G41_5536C11001G41_1,定位两侧壁板_SubAssembly_1_25_5536C11001G41_5536C11001G41_1,PROC_定位两侧壁板,定位两侧壁板,SubAssembly_1_25_5536C11001G41_5536C11001G41_1,5536C11001G41 左侧下封面板,35.592258726;1.991054766;0.206816593,边缘定位挡块,object_requireProcess_positioning,对象存在 requireProcess 定位类工艺，因此生成定位任务。
45,Task_制初孔_Part_1_2_5536C10101G71_5536C10101G71_1_Part_1_4_5536C10105G71_5536C10105G71_1,制初孔_Part_1_2_5536C10101G71_5536C10101G71_1_Part_1_4_5536C10105G71_5536C10105G71_1,PROC_制初孔,制初孔,Part_1_2_5536C10101G71_5536C10101G71_1;Part_1_4_5536C10105G71_5536C10105G71_1,5536C10101G71 1号肋;5536C10105G71 1号肋,35.713096516;2.089104441;-0.080674825,钻具,connect_and_both_require_initial_hole,两端对象存在 connect，且两端都 requireProcess 制初孔，因此生成制初孔任务。
46,Task_制初孔_Part_1_2_5536C10101G71_5536C10101G71_1_SubAssembly_1_27_5536C11003G41_5536C11003G41,制初孔_Part_1_2_5536C10101G71_5536C10101G71_1_SubAssembly_1_27_5536C11003G41_5536C11003G41,PROC_制初孔,制初孔,Part_1_2_5536C10101G71_5536C10101G71_1;SubAssembly_1_27_5536C11003G41_5536C11003G41,5536C10101G71 1号肋;5536C11003G41 左侧1号夹芯板,35.796497102;2.211340148;0.126898791,钻具,connect_and_both_require_initial_hole,两端对象存在 connect，且两端都 requireProcess 制初孔，因此生成制初孔任务。
47,Task_制初孔_Part_1_2_5536C10101G71_5536C10101G71_1_SubAssembly_1_26_5536C11002G41_5536C11002G41_1,制初孔_Part_1_2_5536C10101G71_5536C10101G71_1_SubAssembly_1_26_5536C11002G41_5536C11002G41_1,PROC_制初孔,制初孔,Part_1_2_5536C10101G71_5536C10101G71_1;SubAssembly_1_26_5536C11002G41_5536C11002G41_1,5536C10101G71 1号肋;5536C11002G41 右侧下封面板,35.645042248;2.03901128;-0.081313344,钻具,connect_and_both_require_initial_hole,两端对象存在 connect，且两端都 requireProcess 制初孔，因此生成制初孔任务。
48,Task_制初孔_Part_1_2_5536C10101G71_5536C10101G71_1_SubAssembly_1_25_5536C11001G41_5536C11001G41_1,制初孔_Part_1_2_5536C10101G71_5536C10101G71_1_SubAssembly_1_25_5536C11001G41_5536C11001G41_1,PROC_制初孔,制初孔,Part_1_2_5536C10101G71_5536C10101G71_1;SubAssembly_1_25_5536C11001G41_5536C11001G41_1,5536C10101G71 1号肋;5536C11001G41 左侧下封面板,35.645036699;2.039012372;0.125503381,钻具,connect_and_both_require_initial_hole,两端对象存在 connect，且两端都 requireProcess 制初孔，因此生成制初孔任务。
49,Task_制初孔_Part_1_4_5536C10105G71_5536C10105G71_1_SubAssembly_1_28_5536C11004G41_5536C11004G41,制初孔_Part_1_4_5536C10105G71_5536C10105G71_1_SubAssembly_1_28_5536C11004G41_5536C11004G41,PROC_制初孔,制初孔,Part_1_4_5536C10105G71_5536C10105G71_1;SubAssembly_1_28_5536C11004G41_5536C11004G41,5536C10105G71 1号肋;5536C11004G41 右侧1号夹芯板,35.811778947;2.213474612;-0.207573616,钻具,connect_and_both_require_initial_hole,两端对象存在 connect，且两端都 requireProcess 制初孔，因此生成制初孔任务。
50,Task_制初孔_Part_1_4_5536C10105G71_5536C10105G71_1_SubAssembly_1_26_5536C11002G41_5536C11002G41_1,制初孔_Part_1_4_5536C10105G71_5536C10105G71_1_SubAssembly_1_26_5536C11002G41_5536C11002G41_1,PROC_制初孔,制初孔,Part_1_4_5536C10105G71_5536C10105G71_1;SubAssembly_1_26_5536C11002G41_5536C11002G41_1,5536C10105G71 1号肋;5536C11002G41 右侧下封面板,35.660324093;2.041145743;-0.206178338,钻具,connect_and_both_require_initial_hole,两端对象存在 connect，且两端都 requireProcess 制初孔，因此生成制初孔任务。
51,Task_制初孔_Part_1_6_5536C10211G71_5536C10211G71_1_SubAssembly_1_28_5536C11004G41_5536C11004G41,制初孔_Part_1_6_5536C10211G71_5536C10211G71_1_SubAssembly_1_28_5536C11004G41_5536C11004G41,PROC_制初孔,制初孔,Part_1_6_5536C10211G71_5536C10211G71_1;SubAssembly_1_28_5536C11004G41_5536C11004G41,5536C10211G71 2号肋;5536C11004G41 右侧1号夹芯板,36.024894363;2.436349462;-0.107469793,钻具,connect_and_both_require_initial_hole,两端对象存在 connect，且两端都 requireProcess 制初孔，因此生成制初孔任务。
52,Task_制初孔_Part_1_6_5536C10211G71_5536C10211G71_1_SubAssembly_1_27_5536C11003G41_5536C11003G41,制初孔_Part_1_6_5536C10211G71_5536C10211G71_1_SubAssembly_1_27_5536C11003G41_5536C11003G41,PROC_制初孔,制初孔,Part_1_6_5536C10211G71_5536C10211G71_1;SubAssembly_1_27_5536C11003G41_5536C11003G41,5536C10211G71 2号肋;5536C11003G41 左侧1号夹芯板,36.024894363;2.436349462;0.102137619,钻具,connect_and_both_require_initial_hole,两端对象存在 connect，且两端都 requireProcess 制初孔，因此生成制初孔任务。
53,Task_制初孔_Part_1_10_5536C10311G72_5536C10311G72_1_SubAssembly_1_30_5536C11006G41_5536C11006G41,制初孔_Part_1_10_5536C10311G72_5536C10311G72_1_SubAssembly_1_30_5536C11006G41_5536C11006G41,PROC_制初孔,制初孔,Part_1_10_5536C10311G72_5536C10311G72_1;SubAssembly_1_30_5536C11006G41_5536C11006G41,5536C10311G72 3号肋;5536C11006G41 右侧2号夹芯板,36.999522608;3.662096389;-0.091524702,钻具,connect_and_both_require_initial_hole,两端对象存在 connect，且两端都 requireProcess 制初孔，因此生成制初孔任务。
54,Task_制初孔_Part_1_10_5536C10311G72_5536C10311G72_1_SubAssembly_1_29_5536C11005G41_5536C11005G41,制初孔_Part_1_10_5536C10311G72_5536C10311G72_1_SubAssembly_1_29_5536C11005G41_5536C11005G41,PROC_制初孔,制初孔,Part_1_10_5536C10311G72_5536C10311G72_1;SubAssembly_1_29_5536C11005G41_5536C11005G41,5536C10311G72 3号肋;5536C11005G41 左侧2号夹芯板,36.999522608;3.662096389;0.090476722,钻具,connect_and_both_require_initial_hole,两端对象存在 connect，且两端都 requireProcess 制初孔，因此生成制初孔任务。
55,Task_制初孔_Part_1_14_5536C10411G72_5536C10411G72_1_SubAssembly_1_30_5536C11006G41_5536C11006G41,制初孔_Part_1_14_5536C10411G72_5536C10411G72_1_SubAssembly_1_30_5536C11006G41_5536C11006G41,PROC_制初孔,制初孔,Part_1_14_5536C10411G72_5536C10411G72_1;SubAssembly_1_30_5536C11006G41_5536C11006G41,5536C10411G72 4号肋;5536C11006G41 右侧2号夹芯板,37.415113917;4.222310264;-0.09125147,钻具,connect_and_both_require_initial_hole,两端对象存在 connect，且两端都 requireProcess 制初孔，因此生成制初孔任务。
56,Task_制初孔_Part_1_14_5536C10411G72_5536C10411G72_1_SubAssembly_1_29_5536C11005G41_5536C11005G41,制初孔_Part_1_14_5536C10411G72_5536C10411G72_1_SubAssembly_1_29_5536C11005G41_5536C11005G41,PROC_制初孔,制初孔,Part_1_14_5536C10411G72_5536C10411G72_1;SubAssembly_1_29_5536C11005G41_5536C11005G41,5536C10411G72 4号肋;5536C11005G41 左侧2号夹芯板,37.415113917;4.222310264;0.090749953,钻具,connect_and_both_require_initial_hole,两端对象存在 connect，且两端都 requireProcess 制初孔，因此生成制初孔任务。
57,Task_制初孔_Part_1_18_5536C10511G72_5536C10511G72_1_SubAssembly_1_32_5536C11008G41_5536C11008G41,制初孔_Part_1_18_5536C10511G72_5536C10511G72_1_SubAssembly_1_32_5536C11008G41_5536C11008G41,PROC_制初孔,制初孔,Part_1_18_5536C10511G72_5536C10511G72_1;SubAssembly_1_32_5536C11008G41_5536C11008G41,5536C10511G72 5号肋;5536C11008G41 右侧3号夹芯板,38.657023582;5.862179067;-0.056400878,钻具,connect_and_both_require_initial_hole,两端对象存在 connect，且两端都 requireProcess 制初孔，因此生成制初孔任务。
58,Task_制初孔_Part_1_18_5536C10511G72_5536C10511G72_1_SubAssembly_1_31_5536C11007G41_5536C11007G41,制初孔_Part_1_18_5536C10511G72_5536C10511G72_1_SubAssembly_1_31_5536C11007G41_5536C11007G41,PROC_制初孔,制初孔,Part_1_18_5536C10511G72_5536C10511G72_1;SubAssembly_1_31_5536C11007G41_5536C11007G41,5536C10511G72 5号肋;5536C11007G41 左侧3号夹芯板,38.657023582;5.862179067;0.056395775,钻具,connect_and_both_require_initial_hole,两端对象存在 connect，且两端都 requireProcess 制初孔，因此生成制初孔任务。
59,Task_制初孔_Part_1_22_5536C10611G72_5536C10611G72_1_SubAssembly_1_32_5536C11008G41_5536C11008G41,制初孔_Part_1_22_5536C10611G72_5536C10611G72_1_SubAssembly_1_32_5536C11008G41_5536C11008G41,PROC_制初孔,制初孔,Part_1_22_5536C10611G72_5536C10611G72_1;SubAssembly_1_32_5536C11008G41_5536C11008G41,5536C10611G72 6号肋;5536C11008G41 右侧3号夹芯板,39.082247118;6.42623018;-0.056399765,钻具,connect_and_both_require_initial_hole,两端对象存在 connect，且两端都 requireProcess 制初孔，因此生成制初孔任务。
60,Task_制初孔_Part_1_22_5536C10611G72_5536C10611G72_1_SubAssembly_1_31_5536C11007G41_5536C11007G41,制初孔_Part_1_22_5536C10611G72_5536C10611G72_1_SubAssembly_1_31_5536C11007G41_5536C11007G41,PROC_制初孔,制初孔,Part_1_22_5536C10611G72_5536C10611G72_1;SubAssembly_1_31_5536C11007G41_5536C11007G41,5536C10611G72 6号肋;5536C11007G41 左侧3号夹芯板,39.082247118;6.42623018;0.056396888,钻具,connect_and_both_require_initial_hole,两端对象存在 connect，且两端都 requireProcess 制初孔，因此生成制初孔任务。
